"year","Station","BiomIndex"
2005,"1",0
2005,"2",5.96853494644165
2005,"7",0
2005,"8",26.413595199585
2005,"13",0
2005,"14",16.3891658782959
2005,"20",0
2005,"21",16.1425457000732
2005,"27",0
2005,"28",1.6407904624939
2005,"34",0
2005,"35",21.0208225250244
2005,"40",0
2005,"41",9.44748210906982
2005,"47",4.34331941604614
2005,"48",9.99770832061768
2005,"101",63.2408256530762
2005,"102",88.8019104003906
2005,"103",27.8878040313721
2005,"104",189.928894042969
2005,"105",561.449829101562
2005,"106",366.027679443359
2005,"107",33.1781311035156
2005,"108",97.4315032958984
2005,"109",134.11003112793
2005,"110",146.854507446289
2005,"112",1.21744549274445
2005,"113",51.8948020935059
2005,"3",47.924430847168
2005,"4",115.11011505127
2005,"5",104.295700073242
2005,"9",44.7227935791016
2005,"10",48.5057716369629
2005,"11",80.110107421875
2005,"15",8.97230243682861
2005,"114",22.5608711242676
2005,"115",174.943313598633
2005,"16",6.4759349822998
2005,"17",0
2005,"18",0
2005,"22",4.80944204330444
2005,"23",0
2005,"24",0
2005,"29",1.64070999622345
2005,"30",0
2005,"31",0
2005,"36",0
2005,"37",0
2005,"38",0
2006,"1",123.300750732422
2006,"2",27.7109527587891
2006,"3",203.716796875
2006,"4",122.710975646973
2006,"5",163.872940063477
2006,"6",563.722961425781
2006,"8",11.4558162689209
2006,"12",94.0554046630859
2006,"16",22.1528472900391
2006,"17",76.9562759399414
2006,"21",40.0252990722656
2006,"24",19.5007591247559
2006,"25",24.8575534820557
2006,"27",0
2006,"31",0
2006,"33",0
2006,"34",7.64012765884399
2006,"37",11.0764236450195
2006,"43",208.337707519531
2006,"44",120.180442810059
2006,"45",36.4444465637207
2006,"46",23.8357009887695
2006,"47",157.335098266602
2006,"48",6.89484024047852
2006,"49",10.9792232513428
2006,"50",2.46468377113342
2006,"51",302.228424072266
2006,"55",257.323211669922
2006,"56",395.311737060547
2006,"57",175.239761352539
2006,"63",49.9838600158691
2006,"64",1.7695004940033
2006,"65",85.0039291381836
2006,"66",8.90689849853516
2006,"9",166.460083007812
2006,"10",502.578704833984
2006,"13",45.1800689697266
2006,"14",284.405517578125
2006,"15",82.29931640625
2006,"18",122.258338928223
2006,"19",78.5704956054688
2006,"28",13.1243658065796
2006,"29",74.8373718261719
2006,"53",147.655426025391
2006,"54",101.71826171875
2006,"58",284.419830322266
2006,"59",158.80192565918
2006,"60",156.25553894043
2006,"61",74.6206970214844
2006,"62",129.99072265625
2006,"67",88.0640258789062
2006,"22",36.9969902038574
2006,"26",90.2483139038086
2006,"30",0
2006,"35",0
2006,"36",0
2006,"38",0
2007,"1",125.270202636719
2007,"2",0
2007,"3",48.3090019226074
2007,"4",7.60080814361572
2007,"5",53.8726234436035
2007,"8",0
2007,"12",0
2007,"16",0
2007,"17",0
2007,"24",0
2007,"25",0.607660472393036
2007,"27",0
2007,"28",0
2007,"33",0
2007,"34",0
2007,"37",0
2007,"44",47.1194267272949
2007,"46",0
2007,"48",0
2007,"49",0
2007,"50",0
2007,"55",103.683074951172
2007,"64",0
2007,"65",0
2007,"66",0
2007,"68",0
2007,"70",0
2007,"71",0
2007,"73",28.7166519165039
2007,"74",0
2007,"76",10.4056606292725
2007,"6",417.631958007812
2007,"9",162.766189575195
2007,"10",567.228820800781
2007,"13",58.4836502075195
2007,"14",252.634689331055
2007,"18",111.802192687988
2007,"19",219.482925415039
2007,"29",0
2007,"51",202.901306152344
2007,"53",70.3086318969727
2007,"54",199.133850097656
2007,"56",219.621154785156
2007,"57",89.6615219116211
2007,"58",591.43212890625
2007,"59",59.8947334289551
2007,"60",274.563934326172
2007,"61",0
2007,"62",34.1375160217285
2007,"67",14.0076198577881
2007,"22",140.18537902832
2007,"23",204.718597412109
2007,"26",142.018737792969
2007,"30",37.1927146911621
2007,"32",218.135101318359
2007,"35",17.4136562347412
2007,"36",0
2007,"38",46.2388114929199
2007,"69",23.4414615631104
2007,"72",36.9986457824707
2007,"75",14.499942779541
2007,"45",48.4036560058594
2008,"1",5.93130254745483
2008,"2",41.536865234375
2008,"3",62.0477256774902
2008,"4",23.0246124267578
2008,"5",169.146789550781
2008,"8",0
2008,"12",6.96083879470825
2008,"16",10.4131412506104
2008,"17",10.1796245574951
2008,"21",103.845970153809
2008,"24",8.30887222290039
2008,"25",48.9272155761719
2008,"27",2.46778774261475
2008,"28",15.6002044677734
2008,"31",4.25440454483032
2008,"33",15.0405797958374
2008,"34",28.1014595031738
2008,"37",26.7666110992432
2008,"43",14.9491701126099
2008,"44",96.1480026245117
2008,"46",4.62806272506714
2008,"47",69.7740249633789
2008,"48",0
2008,"49",32.6152114868164
2008,"50",0
2008,"55",37.9537658691406
2008,"56",222.418197631836
2008,"57",118.478416442871
2008,"63",16.3967323303223
2008,"64",6.21168756484985
2008,"65",23.8923740386963
2008,"66",0
2008,"68",0
2008,"70",17.4673099517822
2008,"71",107.80101776123
2008,"73",119.473388671875
2008,"74",83.1166763305664
2008,"76",95.444206237793
2008,"6",137.732406616211
2008,"9",28.857177734375
2008,"10",244.708847045898
2008,"13",74.4585494995117
2008,"14",39.8444290161133
2008,"18",27.4158515930176
2008,"19",28.0929508209229
2008,"29",65.1618194580078
2008,"51",207.568618774414
2008,"53",192.562973022461
2008,"54",37.3137588500977
2008,"58",286.858001708984
2008,"59",6.26205348968506
2008,"60",166.339096069336
2008,"61",40.451416015625
2008,"62",56.2678642272949
2008,"67",59.317756652832
2008,"22",56.3928070068359
2008,"23",52.0000915527344
2008,"26",6.19320487976074
2008,"30",4.23033905029297
2008,"32",0
2008,"35",0
2008,"36",0
2008,"38",0
2008,"69",65.2863159179688
2008,"72",35.5782356262207
2008,"75",29.4014949798584
2008,"45",77.3657760620117
2009,"31",0
2009,"33",0
2009,"34",0
2009,"37",0
2009,"43",166.849609375
2009,"44",35.1089248657227
2009,"46",0.819269239902496
2009,"47",24.2801609039307
2009,"48",0
2009,"49",1.51213693618774
2009,"50",3.52910375595093
2009,"55",30.8147640228271
2009,"56",110.357315063477
2009,"57",58.5731658935547
2009,"1",59.0006523132324
2009,"2",20.2939586639404
2009,"3",209.115112304688
2009,"4",18.9784774780273
2009,"5",106.733444213867
2009,"8",0
2009,"12",0
2009,"16",0
2009,"17",2.29805016517639
2009,"21",5.96324443817139
2009,"24",0
2009,"25",0
2009,"27",0
2009,"28",3.71912527084351
2009,"63",0
2009,"64",0
2009,"65",0
2009,"66",0
2009,"68",15.797553062439
2009,"70",0
2009,"71",0
2009,"73",49.6155166625977
2009,"74",36.0760154724121
2009,"76",41.3000411987305
2009,"51",105.86693572998
2009,"53",67.6773834228516
2009,"54",83.4167785644531
2009,"58",218.180755615234
2009,"59",44.5748062133789
2009,"60",216.810745239258
2009,"61",123.540893554688
2009,"6",70.9200134277344
2009,"9",30.4905471801758
2009,"10",154.699203491211
2009,"13",21.9412574768066
2009,"14",86.2154846191406
2009,"18",130.149261474609
2009,"19",26.6884460449219
2009,"29",26.8169059753418
2009,"62",33.6428375244141
2009,"67",22.548885345459
2009,"32",27.1173114776611
2009,"35",18.6552410125732
2009,"36",27.9679679870605
2009,"38",15.9871273040771
2009,"22",87.4192276000977
2009,"23",38.9488639831543
2009,"26",12.1999044418335
2009,"30",0
2009,"69",100.966423034668
2009,"72",9.04032421112061
2009,"75",7.23717021942139
2009,"45",149.761474609375
2010,"31",0
2010,"33",0
2010,"34",0
2010,"37",0
2010,"43",9.57967472076416
2010,"44",0
2010,"46",0.952674806118011
2010,"47",0
2010,"48",0
2010,"49",0
2010,"50",0
2010,"55",0
2010,"56",138.509918212891
2010,"57",27.7250175476074
2010,"63",1.06630456447601
2010,"64",0
2010,"65",7.17916297912598
2010,"66",0
2010,"68",0
2010,"70",0
2010,"71",9.96563148498535
2010,"73",71.292350769043
2010,"74",9.88857936859131
2010,"76",56.8587608337402
2010,"1",26.5500259399414
2010,"2",15.3363838195801
2010,"3",59.8641510009766
2010,"4",2.93369174003601
2010,"5",15.1483039855957
2010,"8",0
2010,"12",0
2010,"16",0
2010,"17",1.74094712734222
2010,"21",11.3841018676758
2010,"24",0
2010,"25",1.61155772209167
2010,"27",0
2010,"28",0.420548498630524
2010,"51",125.570182800293
2010,"53",39.0898704528809
2010,"54",67.9472885131836
2010,"58",51.861701965332
2010,"59",5.2295708656311
2010,"60",36.6286582946777
2010,"61",21.148998260498
2010,"62",16.327787399292
2010,"67",43.9954681396484
2010,"6",38.5107612609863
2010,"9",0
2010,"10",45.4374847412109
2010,"13",6.98911094665527
2010,"14",63.4469947814941
2010,"18",24.7166194915771
2010,"19",0
2010,"29",48.604248046875
2010,"30",0
2010,"32",0
2010,"35",4.74328994750977
2010,"36",0
2010,"38",18.8782119750977
2010,"69",34.7465553283691
2010,"72",0
2010,"75",25.3601570129395
2010,"22",0
2010,"23",0
2010,"26",34.957763671875
2010,"45",98.4583129882812
